"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"499","Jefferson County","18",85,Inf,"1053"
"500","Jefferson County","19",0,17,"3788"
"501","Jefferson County","20",5,13,"1929"
"502","Jefferson County","21",14,17,"916"
"503","Jefferson County","22",18,64,"16206"
"504","Jefferson County","23",18,24,"1451"
"505","Jefferson County","24",25,44,"5539"
"506","Jefferson County","25",45,64,"9216"
"507","Jefferson County","26",65,Inf,"12227"
"508","Jefferson County","27",85,Inf,"1053"
"509","Jefferson County","28",16,Inf,"28883"
"510","Jefferson County","29",18,Inf,"28433"
"511","Jefferson County","30",15,44,"7674"
"512","Jefferson County","31",NA,NA,"59.3"
"513","Kitsap County","0",0,Inf,"271473"
"514","Kitsap County","1",0,4,"15409"
"515","Kitsap County","2",5,9,"15366"
"516","Kitsap County","3",10,14,"15121"
"517","Kitsap County","4",15,19,"14592"
"518","Kitsap County","5",20,24,"19865"
"519","Kitsap County","6",25,29,"21177"
"520","Kitsap County","7",30,34,"19192"
"521","Kitsap County","8",35,39,"18013"
"522","Kitsap County","9",40,44,"15128"
"523","Kitsap County","10",45,49,"14785"
"524","Kitsap County","11",50,54,"15872"
"525","Kitsap County","12",55,59,"18615"
"526","Kitsap County","13",60,64,"18480"
"527","Kitsap County","14",65,69,"16833"
"528","Kitsap County","15",70,74,"14036"
"529","Kitsap County","16",75,79,"8994"
"530","Kitsap County","17",80,84,"4955"
"531","Kitsap County","18",85,Inf,"5040"
"532","Kitsap County","19",0,17,"54936"
"533","Kitsap County","20",5,13,"27464"
"534","Kitsap County","21",14,17,"12063"
"535","Kitsap County","22",18,64,"166679"
"536","Kitsap County","23",18,24,"25417"
"537","Kitsap County","24",25,44,"73510"
"538","Kitsap County","25",45,64,"67752"
"539","Kitsap County","26",65,Inf,"49858"
"540","Kitsap County","27",85,Inf,"5040"
"541","Kitsap County","28",16,Inf,"222537"
"542","Kitsap County","29",18,Inf,"216537"
"543","Kitsap County","30",15,44,"107967"
"544","Kitsap County","31",NA,NA,"39.1"
"545","King County","0",0,Inf,"2252782"
"546","King County","1",0,4,"127399"
"547","King County","2",5,9,"127761"
"548","King County","3",10,14,"124585"
"549","King County","4",15,19,"120589"
"550","King County","5",20,24,"132725"
"551","King County","6",25,29,"207297"
"552","King County","7",30,34,"208767"
